timestamp,target_speed,filtered_speed,current_speed,brake,throttle,current_steering,current_throttle_torque,current_brake_torque,steer_command
1726037731.829710,37.075001,37.075001,5.090000,0,234,-8.650000,1258.000000,0.000000,-8.570000
1726037731.839716,37.075001,37.075001,5.200000,0,218,-8.370000,1242.000000,0.000000,-8.570000
1726037731.849826,37.075001,37.075001,5.200000,0,218,-8.370000,1242.000000,0.000000,-8.570000
1726037731.859877,37.075001,37.075001,5.310000,0,206,-8.630000,1230.000000,0.000000,-8.570000
1726037731.869924,37.075001,37.075001,5.310000,0,206,-8.630000,1230.000000,0.000000,-8.570000
1726037731.880078,37.075001,37.075001,5.420000,0,194,-8.740000,1218.000000,0.000000,-8.570000
1726037731.890066,37.075001,37.075001,5.420000,0,194,-8.740000,1218.000000,0.000000,-8.570000
1726037731.900145,37.075001,37.075001,5.520000,0,184,-8.850000,1208.000000,0.000000,-8.570000
1726037731.910311,37.075001,37.075001,5.520000,0,184,-8.850000,1208.000000,0.000000,-8.570000
1726037731.920295,37.075001,37.075001,5.620000,0,178,-8.810000,1202.000000,0.000000,-8.570000
1726037731.930345,37.075001,37.075001,5.620000,0,178,-8.810000,1202.000000,0.000000,-8.570000
1726037731.940428,37.075001,37.075001,5.710000,0,174,-8.730000,1198.000000,0.000000,-8.570000
1726037731.950512,37.075001,37.075001,5.710000,0,174,-8.730000,1198.000000,0.000000,-8.570000
1726037731.960571,37.075001,37.075001,5.800000,0,174,-8.670000,1198.000000,0.000000,-8.570000
1726037731.970633,37.075001,37.075001,5.800000,0,174,-8.670000,1198.000000,0.000000,-8.570000
1726037731.980663,37.075001,37.075001,5.900000,0,178,-8.680000,1202.000000,0.000000,-8.570000
1726037731.990755,37.075001,37.075001,5.900000,0,178,-8.680000,1202.000000,0.000000,-8.570000
1726037732.000805,37.075001,37.075001,5.990000,0,188,-8.700000,1212.000000,0.000000,-8.570000
1726037732.010932,37.075001,37.075001,5.990000,0,188,-8.700000,1212.000000,0.000000,-8.570000
1726037732.020976,37.075001,37.075001,6.080000,0,200,-8.700000,1224.000000,0.000000,-8.570000
1726037732.031038,37.075001,37.075001,6.080000,0,200,-8.700000,1224.000000,0.000000,-8.570000
1726037732.041115,37.075001,37.075001,6.180000,0,218,-8.690000,1242.000000,0.000000,-8.570000
1726037732.051133,37.075001,37.075001,6.180000,0,218,-8.690000,1242.000000,0.000000,-8.570000
1726037732.061204,37.075001,37.075001,6.270000,0,238,-8.680000,1262.000000,0.000000,-8.570000
1726037732.071326,37.075001,37.075001,6.270000,0,238,-8.680000,1262.000000,0.000000,-8.570000
1726037732.081560,37.075001,37.075001,6.370000,0,6,-8.680000,1286.000000,0.000000,-8.570000
1726037732.091494,37.075001,37.075001,6.370000,0,6,-8.680000,1286.000000,0.000000,-8.570000
1726037732.101526,37.075001,37.075001,6.450000,0,32,-8.680000,1312.000000,0.000000,-10.500000
1726037732.111557,37.075001,37.075001,6.450000,0,32,-8.680000,1312.000000,0.000000,-10.500000
1726037732.121976,37.075001,37.075001,6.540000,0,58,-8.680000,1338.000000,0.000000,-10.500000
1726037732.131718,37.075001,37.075001,6.540000,0,58,-8.680000,1338.000000,0.000000,-10.500000
1726037732.141819,37.075001,37.075001,6.630000,0,82,-10.220000,1362.000000,0.000000,-6.880000
1726037732.151855,37.075001,37.075001,6.630000,0,82,-10.220000,1362.000000,0.000000,-6.880000
1726037732.161952,37.075001,37.075001,6.720000,0,106,-10.080000,1386.000000,0.000000,-5.560000
