time_stamp,latitude,longitude,height,speed,sensor_time_counter
1726037732.613621,35.45174887,139.63637623,42.628461,nan,0
1726037732.623705,35.45174876,139.63637649,42.628242,nan,0
1726037732.633604,35.45174864,139.63637675,42.628020,nan,0
1726037732.643876,35.45174853,139.63637701,42.627804,nan,0
1726037732.653224,35.45174842,139.63637727,42.627581,nan,0
1726037732.662695,35.45174830,139.63637753,42.627331,nan,0
1726037732.672401,35.45174818,139.63637780,42.627048,nan,0
1726037732.682250,35.45174806,139.63637806,42.626749,nan,0
1726037732.692407,35.45174794,139.63637833,42.626454,nan,0
1726037732.701894,35.45174782,139.63637860,42.626166,nan,0
1726037732.713803,35.45174770,139.63637887,42.625883,nan,0
1726037732.723554,35.45174758,139.63637914,42.625595,nan,0
1726037732.733712,35.45174746,139.63637941,42.625299,nan,0
1726037732.743798,35.45174734,139.63637968,42.624999,nan,0
1726037732.753336,35.45174721,139.63637996,42.624705,nan,0
1726037732.762499,35.45174709,139.63638023,42.624427,nan,0
1726037732.772248,35.45174696,139.63638051,42.624164,nan,0
1726037732.782508,35.45174684,139.63638079,42.623903,nan,0
1726037732.792257,35.45174671,139.63638107,42.623632,nan,0
1726037732.802130,35.45174658,139.63638135,42.623355,nan,0
1726037732.813609,35.45174646,139.63638163,42.623091,nan,0
1726037732.823893,35.45174633,139.63638192,42.622839,nan,0
1726037732.833913,35.45174620,139.63638220,42.622585,nan,0
1726037732.843634,35.45174607,139.63638249,42.622316,nan,0
1726037732.853431,35.45174594,139.63638278,42.622029,nan,0
1726037732.862888,35.45174581,139.63638307,42.621736,nan,0
1726037732.872476,35.45174568,139.63638336,42.621447,nan,0
1726037732.882239,35.45174555,139.63638365,42.621154,nan,0
1726037732.892384,35.45174542,139.63638394,42.620838,nan,0
1726037732.902319,35.45174529,139.63638424,42.620501,nan,0
1726037732.913621,35.45174516,139.63638454,42.620186,nan,0
1726037732.923756,35.45174502,139.63638483,42.619893,nan,0
1726037732.933743,35.45174489,139.63638513,42.619593,nan,0
1726037732.944077,35.45174476,139.63638543,42.619279,nan,0
1726037732.954047,35.45174462,139.63638574,42.618975,nan,0
1726037732.962018,35.45174449,139.63638604,42.618707,nan,0
1726037732.972274,35.45174435,139.63638635,42.618482,nan,0
1726037732.982424,35.45174422,139.63638665,42.618279,nan,0
1726037732.992284,35.45174408,139.63638696,42.618065,nan,0
1726037733.002383,35.45174394,139.63638727,42.617840,nan,0
1726037733.014565,35.45174381,139.63638758,42.617646,nan,0
1726037733.023530,35.45174367,139.63638789,42.617484,nan,0
1726037733.033737,35.45174353,139.63638821,42.617322,nan,0
1726037733.046592,35.45174352,139.63638921,42.624964,nan,0
1726037733.053917,35.45174338,139.63638953,42.624777,nan,0
1726037733.062840,35.45174324,139.63638985,42.624593,nan,0
1726037733.072375,35.45174310,139.63639016,42.624418,nan,0
1726037733.082200,35.45174296,139.63639048,42.624241,nan,0
1726037733.092401,35.45174282,139.63639081,42.624042,nan,0
1726037733.102450,35.45174267,139.63639113,42.623814,nan,0
1726037733.113738,35.45174253,139.63639145,42.623583,nan,0
1726037733.123898,35.45174238,139.63639178,42.623359,nan,0
1726037733.133741,35.45174224,139.63639210,42.623136,nan,0
1726037733.143905,35.45174209,139.63639243,42.622910,nan,0
1726037733.153772,35.45174195,139.63639276,42.622689,nan,0
1726037733.162814,35.45174180,139.63639309,42.622480,nan,0
1726037733.171956,35.45174165,139.63639342,42.622280,nan,0
1726037733.182404,35.45174150,139.63639375,42.622077,nan,0
1726037733.192392,35.45174135,139.63639408,42.621866,nan,0
1726037733.202178,35.45174120,139.63639442,42.621658,nan,0
1726037733.213933,35.45174105,139.63639475,42.621465,nan,0
1726037733.223401,35.45174090,139.63639509,42.621283,nan,0
1726037733.233935,35.45174075,139.63639543,42.621100,nan,0
1726037733.243764,35.45174060,139.63639576,42.620907,nan,0
1726037733.253920,35.45174045,139.63639610,42.620705,nan,0
1726037733.262519,35.45174030,139.63639644,42.620502,nan,0
1726037733.271967,35.45174014,139.63639679,42.620307,nan,0
1726037733.282389,35.45173999,139.63639713,42.620116,nan,0
1726037733.292368,35.45173984,139.63639747,42.619918,nan,0
1726037733.302408,35.45173968,139.63639782,42.619712,nan,0
1726037733.313791,35.45173953,139.63639816,42.619507,nan,0
1726037733.323955,35.45173937,139.63639851,42.619303,nan,0
1726037733.333396,35.45173922,139.63639885,42.619102,nan,0
1726037733.343931,35.45173906,139.63639920,42.618906,nan,0
