fsm_execution_ts_sec,current_state,path_ts_sec,map_obj_ts_sec,sig-Phi_0,sig-Phi_1,sig-Intent_R,sig-Intent_F,sig-Intent_L,sig-DWB_0,sig-DWB_1,sig-RWB_0,sig-RWB_1,data-RWB_1-reached_waiting_box,data-RWB_1-hit_point_x_ego_frame,data-RWB_1-hit_point_y_ego_frame,data-RWB_1-distance,sig-CEWB_0,sig-CEWB_1,sig-ENLI_1,data-ENLI_1-stop_line_under_the_ego,data-ENLI_1-distance_from_ego_to_nearest_SL,data-ENLI_1-distance_from_rear_to_nearest_SL,data-ENLI_1-hit_point_x_ego_frame,data-ENLI_1-hit_point_y_ego_frame,sig-HALF_EXLI_1,data-HALF_EXLI_1-crosswalk_under_the_ego,data-HALF_EXLI_1-zebra_hit,data-HALF_EXLI_1-empty_crosswalk_hit,data-HALF_EXLI_1-second_stage,data-HALF_EXLI_1-required_num_sequential_hits,data-HALF_EXLI_1-registered_num_sequential_hits,sig-FULL_EXLI_1,data-FULL_EXLI_1-crosswalk_under_the_ego,data-FULL_EXLI_1-zebra_hit,data-FULL_EXLI_1-empty_crosswalk_hit,data-FULL_EXLI_1-second_stage,data-FULL_EXLI_1-required_num_sequential_hits,data-FULL_EXLI_1-registered_num_sequential_hits,data-FULL_EXLI_1-crosswalk_under_the_ego,data-FULL_EXLI_1-zebra_hit,data-FULL_EXLI_1-empty_crosswalk_hit,data-FULL_EXLI_1-second_stage,data-FULL_EXLI_1-required_num_sequential_hits,data-FULL_EXLI_1-registered_num_sequential_hits,sig-RIF_0,sig-RIF_1
1729486472.380089,IntersectionApproaching,1729486472.272414,1729486472.337264,0,-,0,1,0,1,0,-,-,-,-,-,-,1,0,0,false,10.513406,13.290888,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1729486472.413496,IntersectionApproaching,1729486472.272414,1729486472.337264,0,-,0,1,0,1,0,-,-,-,-,-,-,1,0,0,false,10.513406,13.290888,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1729486472.446849,IntersectionApproaching,1729486472.332144,1729486472.404196,0,-,0,1,0,1,0,-,-,-,-,-,-,1,0,0,false,10.513044,13.290535,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1729486472.480299,IntersectionApproaching,1729486472.332144,1729486472.404196,0,-,0,1,0,1,0,-,-,-,-,-,-,1,0,0,false,10.513044,13.290535,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1729486472.513820,IntersectionApproaching,1729486472.398641,1729486472.474104,0,-,0,1,0,1,0,-,-,-,-,-,-,1,0,0,false,10.512805,13.290291,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1729486472.547019,IntersectionApproaching,1729486472.398641,1729486472.474104,0,-,0,1,0,1,0,-,-,-,-,-,-,1,0,0,false,10.512805,13.290291,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1729486472.580555,IntersectionApproaching,1729486472.468564,1729486472.536247,0,-,0,1,0,1,0,-,-,-,-,-,-,1,0,0,false,10.512622,13.290098,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1729486472.613854,IntersectionApproaching,1729486472.468564,1729486472.536247,0,-,0,1,0,1,0,-,-,-,-,-,-,1,0,0,false,10.512622,13.290098,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1729486472.647214,IntersectionApproaching,1729486472.530730,1729486472.605086,0,-,0,1,0,1,0,-,-,-,-,-,-,1,0,0,false,10.512466,13.289942,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1729486472.680588,IntersectionApproaching,1729486472.530730,1729486472.605086,0,-,0,1,0,1,0,-,-,-,-,-,-,1,0,0,false,10.512466,13.289942,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
