timestamp,acceleration_x,acceleration_y,acceleration_z,angular_velocity_x,angular_velocity_y,angular_velocity_z,status,is_optional_available,est_latitude,est_longitude,est_attitude_psi,est_longitudinal_slope,est_cross_slope,corrected_velocity,corrected_yawrate,odometry_x,odometry_y,odometry_rz
1.72604e+09,-1.82495,0.0396729,-10.0555,-0.00809601,-0.00127832,-0.00127832,1175,1,35.4517,139.636,-601.144,0,0,0.188465,0.000200254,373.25,912.23,-3.6
1.72604e+09,-1.81885,0.0579834,-9.9884,-0.0076699,-0.00308927,-0.000426106,1175,1,35.4517,139.636,-601.146,0,0,0.296975,0.00062636,373.25,912.23,-3.6
1.72604e+09,-1.84937,0.0701904,-9.90906,-0.00735032,-0.00458064,-0.000852212,1175,1,35.4517,139.636,-601.153,0,0,0.345517,-0.000108268,373.28,912.23,-3.6
1.72604e+09,-1.83105,0.0579834,-9.85718,-0.00692422,-0.00671117,-0.000745685,1175,1,35.4517,139.636,-601.152,0,0,0.391205,-0.00106701,373.28,912.23,-3.6
1.72604e+09,-1.81885,0.0640869,-9.76868,-0.00617853,-0.00703075,-0.00127832,3223,1,35.4517,139.636,-601.152,0,0,0.445459,-0.000214795,373.28,912.23,-3.6
1.72604e+09,-1.83105,0.0640869,-9.72595,-0.00479369,-0.00756338,-0.000639159,1175,1,35.4517,139.636,-601.152,0,0,0.445459,-0.000214795,373.3,912.23,-3.6
1.72604e+09,-1.84631,0.0701904,-9.67407,-0.00468716,-0.00777643,0.000319579,1175,1,35.4517,139.636,-601.15,0,0,0.53398,-0.000534374,373.3,912.23,-3.6
1.72604e+09,-1.8158,0.0610352,-9.65271,-0.00383495,-0.00735032,0.000426106,1175,1,35.4517,139.636,-601.154,0,0,0.579665,-0.00106029,373.34,912.23,-3.6
1.72604e+09,-1.84021,0.0671387,-9.62524,-0.00447411,-0.00820254,-0.000106526,1175,1,35.4517,139.636,-601.153,0,0,0.622498,-0.000421136,373.34,912.23,-3.6
1.72604e+09,-1.85547,0.201416,-9.56726,-0.00628506,-0.00681769,0.000958738,3223,1,35.4517,139.636,-601.154,0,0,0.662475,0.000537602,373.34,912.23,-3.6
