timestamp_seconds,car_pose_front_axle_x_meters,car_pose_front_axle_y_meters,car_pose_yaw_degrees
1726037731.601884,-111.641,287.437,-118.086
1726037731.601884,-111.641,287.437,-118.086
1726037731.623666,-111.653,287.415,-118.092
1726037731.623666,-111.653,287.415,-118.092
1726037731.643642,-111.665,287.393,-118.099
1726037731.653479,-111.671,287.381,-118.100
1726037731.662218,-111.677,287.370,-118.105
1726037731.672413,-111.684,287.358,-118.111
1726037731.682483,-111.690,287.347,-118.111
1726037731.692167,-111.696,287.335,-118.117
1726037731.701910,-111.703,287.323,-118.117
1726037731.713664,-111.709,287.311,-118.120
1726037731.723956,-111.716,287.298,-118.127
1726037731.723956,-111.716,287.298,-118.127
1726037731.743913,-111.729,287.274,-118.132
1726037731.743913,-111.729,287.274,-118.132
1726037731.762555,-111.743,287.248,-118.137
1726037731.772511,-111.750,287.236,-118.142
1726037731.782247,-111.757,287.223,-118.143
1726037731.792335,-111.764,287.210,-118.149
1726037731.802210,-111.771,287.197,-118.155
1726037731.813494,-111.779,287.183,-118.160
1726037731.813494,-111.779,287.183,-118.160
1726037731.833998,-111.793,287.156,-118.165
1726037731.843755,-111.801,287.143,-118.170
1726037731.853929,-111.808,287.129,-118.176
1726037731.862336,-111.816,287.116,-118.183
1726037731.872176,-111.823,287.102,-118.186
1726037731.882420,-111.831,287.087,-118.189
1726037731.892210,-111.839,287.073,-118.194
1726037731.892210,-111.839,287.073,-118.194
1726037731.892210,-111.839,287.073,-118.194
1726037731.923924,-111.862,287.030,-118.207
1726037731.933752,-111.870,287.016,-118.210
1726037731.944834,-111.878,287.001,-118.214
1726037731.953898,-111.886,286.987,-118.217
1726037731.961725,-111.895,286.972,-118.220
1726037731.972359,-111.903,286.957,-118.223
1726037731.982167,-111.911,286.942,-118.226
1726037731.992385,-111.919,286.926,-118.229
1726037732.002179,-111.928,286.911,-118.233
1726037732.015207,-111.936,286.896,-118.236
1726037732.023274,-111.945,286.880,-118.238
1726037732.033886,-111.953,286.865,-118.241
1726037732.033886,-111.953,286.865,-118.241
1726037732.053732,-111.954,286.767,-118.251
1726037732.062420,-111.963,286.751,-118.255
1726037732.062420,-111.963,286.751,-118.255
1726037732.062420,-111.963,286.751,-118.255
1726037732.092246,-111.989,286.703,-118.267
1726037732.102384,-111.998,286.687,-118.272
1726037732.113585,-112.007,286.670,-118.276
1726037732.123610,-112.017,286.654,-118.282
1726037732.133910,-112.026,286.637,-118.287
1726037732.143827,-112.035,286.620,-118.293
1726037732.153702,-112.044,286.603,-118.297
1726037732.162299,-112.054,286.586,-118.304
1726037732.172038,-112.064,286.569,-118.311
1726037732.182163,-112.073,286.552,-118.315
1726037732.192333,-112.083,286.534,-118.321
1726037732.202168,-112.092,286.517,-118.329
1726037732.213783,-112.102,286.499,-118.334
1726037732.223706,-112.112,286.481,-118.339
1726037732.233227,-112.122,286.463,-118.345
1726037732.243769,-112.132,286.445,-118.350
1726037732.253532,-112.142,286.427,-118.355
1726037732.262647,-112.152,286.409,-118.361
1726037732.272278,-112.162,286.390,-118.363
1726037732.282066,-112.173,286.372,-118.367
1726037732.292177,-112.183,286.353,-118.370
1726037732.302585,-112.193,286.334,-118.373
1726037732.313744,-112.204,286.315,-118.375
1726037732.323552,-112.214,286.296,-118.376
1726037732.333460,-112.225,286.276,-118.379
1726037732.343579,-112.236,286.257,-118.379
1726037732.353767,-112.246,286.237,-118.381
1726037732.362257,-112.257,286.217,-118.381
